# Generated using Vector Slicer 0.4.0 on Wed Mar 29 20:50:34 2023
# Michal Zmyslony, University of Cambridge, mlz22@cam.ac.uk
# Source directory: linear_2x1_cm
# Print diameter: 13.000000
# Disagreement configuration: 
# 	 empty spot (40,2)
# 	 overlap (8,2)
# 	 director (70,2)
# Iterations: 100, relearning period: 20, noise: 1e-4

32,32,40,32,48,32,56,32,64,32,72,32,80,32,88,32,96,32,104,32,112,32,120,32,128,32,136,32,144,32,152,32,160,32,168,32,176,32,184,32,192,32,200,32,208,32,216,32,224,32,232,32,240,32,248,32,256,32,264,32,272,32,280,32,288,32,296,32,304,32,312,32,320,32,328,32,336,32,344,32,352,32,360,32,368,32,376,32,384,32,392,32,400,32,408,32,416,32,424,32,432,32,440,32,448,32,456,32,464,32,472,32,480,32,488,32,496,32,504,32,512,32,520,32,528,32,536,32,544,32,552,32,560,32,568,32,576,32,584,32,592,32,600,32,608,32,616,32,624,32,632,32,640,32,648,32,656,32,664,32,672,32,680,32,688,32,696,32,704,32,712,32,720,32,728,32,736,32,744,32,752,32,760,32,768,32,776,32,784,32,792,32,800,32,808,32,816,32,824,32,832,32
832,42,824,42,816,42,808,42,800,42,792,42,784,42,776,42,768,42,760,42,752,42,744,42,736,42,728,42,720,42,712,42,704,42,696,42,688,42,680,42,672,42,664,42,656,42,648,42,640,42,632,42,624,42,616,42,608,42,600,42,592,42,584,42,576,42,568,42,560,42,552,42,544,42,536,42,528,42,520,42,512,42,504,42,496,42,488,42,480,42,472,42,464,42,456,42,448,42,440,42,432,42,424,42,416,42,408,42,400,42,392,42,384,42,376,42,368,42,360,42,352,42,344,42,336,42,328,42,320,42,312,42,304,42,296,42,288,42,280,42,272,42,264,42,256,42,248,42,240,42,232,42,224,42,216,42,208,42,200,42,192,42,184,42,176,42,168,42,160,42,152,42,144,42,136,42,128,42,120,42,112,42,104,42,96,42,88,42,80,42,72,42,64,42,56,42,48,42,40,42,32,42
32,55,40,55,48,55,56,55,64,55,72,55,80,55,88,55,96,55,104,55,112,55,120,55,128,55,136,55,144,55,152,55,160,55,168,55,176,55,184,55,192,55,200,55,208,55,216,55,224,55,232,55,240,55,248,55,256,55,264,55,272,55,280,55,288,55,296,55,304,55,312,55,320,55,328,55,336,55,344,55,352,55,360,55,368,55,376,55,384,55,392,55,400,55,408,55,416,55,424,55,432,55,440,55,448,55,456,55,464,55,472,55,480,55,488,55,496,55,504,55,512,55,520,55,528,55,536,55,544,55,552,55,560,55,568,55,576,55,584,55,592,55,600,55,608,55,616,55,624,55,632,55,640,55,648,55,656,55,664,55,672,55,680,55,688,55,696,55,704,55,712,55,720,55,728,55,736,55,744,55,752,55,760,55,768,55,776,55,784,55,792,55,800,55,808,55,816,55,824,55,832,55
832,68,824,68,816,68,808,68,800,68,792,68,784,68,776,68,768,68,760,68,752,68,744,68,736,68,728,68,720,68,712,68,704,68,696,68,688,68,680,68,672,68,664,68,656,68,648,68,640,68,632,68,624,68,616,68,608,68,600,68,592,68,584,68,576,68,568,68,560,68,552,68,544,68,536,68,528,68,520,68,512,68,504,68,496,68,488,68,480,68,472,68,464,68,456,68,448,68,440,68,432,68,424,68,416,68,408,68,400,68,392,68,384,68,376,68,368,68,360,68,352,68,344,68,336,68,328,68,320,68,312,68,304,68,296,68,288,68,280,68,272,68,264,68,256,68,248,68,240,68,232,68,224,68,216,68,208,68,200,68,192,68,184,68,176,68,168,68,160,68,152,68,144,68,136,68,128,68,120,68,112,68,104,68,96,68,88,68,80,68,72,68,64,68,56,68,48,68,40,68,32,68
32,81,40,81,48,81,56,81,64,81,72,81,80,81,88,81,96,81,104,81,112,81,120,81,128,81,136,81,144,81,152,81,160,81,168,81,176,81,184,81,192,81,200,81,208,81,216,81,224,81,232,81,240,81,248,81,256,81,264,81,272,81,280,81,288,81,296,81,304,81,312,81,320,81,328,81,336,81,344,81,352,81,360,81,368,81,376,81,384,81,392,81,400,81,408,81,416,81,424,81,432,81,440,81,448,81,456,81,464,81,472,81,480,81,488,81,496,81,504,81,512,81,520,81,528,81,536,81,544,81,552,81,560,81,568,81,576,81,584,81,592,81,600,81,608,81,616,81,624,81,632,81,640,81,648,81,656,81,664,81,672,81,680,81,688,81,696,81,704,81,712,81,720,81,728,81,736,81,744,81,752,81,760,81,768,81,776,81,784,81,792,81,800,81,808,81,816,81,824,81,832,81
832,94,824,94,816,94,808,94,800,94,792,94,784,94,776,94,768,94,760,94,752,94,744,94,736,94,728,94,720,94,712,94,704,94,696,94,688,94,680,94,672,94,664,94,656,94,648,94,640,94,632,94,624,94,616,94,608,94,600,94,592,94,584,94,576,94,568,94,560,94,552,94,544,94,536,94,528,94,520,94,512,94,504,94,496,94,488,94,480,94,472,94,464,94,456,94,448,94,440,94,432,94,424,94,416,94,408,94,400,94,392,94,384,94,376,94,368,94,360,94,352,94,344,94,336,94,328,94,320,94,312,94,304,94,296,94,288,94,280,94,272,94,264,94,256,94,248,94,240,94,232,94,224,94,216,94,208,94,200,94,192,94,184,94,176,94,168,94,160,94,152,94,144,94,136,94,128,94,120,94,112,94,104,94,96,94,88,94,80,94,72,94,64,94,56,94,48,94,40,94,32,94
32,107,40,107,48,107,56,107,64,107,72,107,80,107,88,107,96,107,104,107,112,107,120,107,128,107,136,107,144,107,152,107,160,107,168,107,176,107,184,107,192,107,200,107,208,107,216,107,224,107,232,107,240,107,248,107,256,107,264,107,272,107,280,107,288,107,296,107,304,107,312,107,320,107,328,107,336,107,344,107,352,107,360,107,368,107,376,107,384,107,392,107,400,107,408,107,416,107,424,107,432,107,440,107,448,107,456,107,464,107,472,107,480,107,488,107,496,107,504,107,512,107,520,107,528,107,536,107,544,107,552,107,560,107,568,107,576,107,584,107,592,107,600,107,608,107,616,107,624,107,632,107,640,107,648,107,656,107,664,107,672,107,680,107,688,107,696,107,704,107,712,107,720,107,728,107,736,107,744,107,752,107,760,107,768,107,776,107,784,107,792,107,800,107,808,107,816,107,824,107,832,107
832,120,824,120,816,120,808,120,800,120,792,120,784,120,776,120,768,120,760,120,752,120,744,120,736,120,728,120,720,120,712,120,704,120,696,120,688,120,680,120,672,120,664,120,656,120,648,120,640,120,632,120,624,120,616,120,608,120,600,120,592,120,584,120,576,120,568,120,560,120,552,120,544,120,536,120,528,120,520,120,512,120,504,120,496,120,488,120,480,120,472,120,464,120,456,120,448,120,440,120,432,120,424,120,416,120,408,120,400,120,392,120,384,120,376,120,368,120,360,120,352,120,344,120,336,120,328,120,320,120,312,120,304,120,296,120,288,120,280,120,272,120,264,120,256,120,248,120,240,120,232,120,224,120,216,120,208,120,200,120,192,120,184,120,176,120,168,120,160,120,152,120,144,120,136,120,128,120,120,120,112,120,104,120,96,120,88,120,80,120,72,120,64,120,56,120,48,120,40,120,32,120
32,133,40,133,48,133,56,133,64,133,72,133,80,133,88,133,96,133,104,133,112,133,120,133,128,133,136,133,144,133,152,133,160,133,168,133,176,133,184,133,192,133,200,133,208,133,216,133,224,133,232,133,240,133,248,133,256,133,264,133,272,133,280,133,288,133,296,133,304,133,312,133,320,133,328,133,336,133,344,133,352,133,360,133,368,133,376,133,384,133,392,133,400,133,408,133,416,133,424,133,432,133,440,133,448,133,456,133,464,133,472,133,480,133,488,133,496,133,504,133,512,133,520,133,528,133,536,133,544,133,552,133,560,133,568,133,576,133,584,133,592,133,600,133,608,133,616,133,624,133,632,133,640,133,648,133,656,133,664,133,672,133,680,133,688,133,696,133,704,133,712,133,720,133,728,133,736,133,744,133,752,133,760,133,768,133,776,133,784,133,792,133,800,133,808,133,816,133,824,133,832,133
832,146,824,146,816,146,808,146,800,146,792,146,784,146,776,146,768,146,760,146,752,146,744,146,736,146,728,146,720,146,712,146,704,146,696,146,688,146,680,146,672,146,664,146,656,146,648,146,640,146,632,146,624,146,616,146,608,146,600,146,592,146,584,146,576,146,568,146,560,146,552,146,544,146,536,146,528,146,520,146,512,146,504,146,496,146,488,146,480,146,472,146,464,146,456,146,448,146,440,146,432,146,424,146,416,146,408,146,400,146,392,146,384,146,376,146,368,146,360,146,352,146,344,146,336,146,328,146,320,146,312,146,304,146,296,146,288,146,280,146,272,146,264,146,256,146,248,146,240,146,232,146,224,146,216,146,208,146,200,146,192,146,184,146,176,146,168,146,160,146,152,146,144,146,136,146,128,146,120,146,112,146,104,146,96,146,88,146,80,146,72,146,64,146,56,146,48,146,40,146,32,146
